# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,1.499799,0.314460,0.002354,-0.024728,0.000650,0.002369,-0.001187,0.000196,1.000030,0.000053,0.098702,-0.000528,-0.002932,0.000284,-0.000221,0.000053,0.799971,0.034688,0.000229,0.000685,-0.000379,-0.000405,0.000330,-0.000062,-12.566707,-0.627723,0.004777,-0.008803,0.000364,0.006600,-0.003991,0.000695
2.000000,1.975570,0.097137,-0.094382,-0.005179,0.001843,0.000543,0.000020,-0.000039,1.345536,0.298705,0.030387,-0.018389,-0.004560,0.004108,-0.001605,0.000246,0.869926,0.034975,0.000545,-0.000308,-0.000154,0.000021,0.000078,-0.000022,-13.822880,-0.629413,-0.001946,0.008887,-0.006112,-0.001521,0.002408,-0.000538
2.000000,1.794020,-0.253819,-0.059295,0.012556,0.013263,-0.009425,0.002963,-0.000344,1.904614,0.184259,-0.080748,-0.009663,0.000665,0.001037,-0.000240,0.000026,0.939947,0.035212,0.000421,-0.000716,-0.000058,0.000322,-0.000100,0.000005,-15.079600,-0.626452,-0.000505,-0.016745,0.030664,-0.021391,0.006584,-0.000746
2.000000,1.205886,-0.255016,0.060485,0.023263,-0.019101,0.012614,-0.003894,0.000407,1.904546,-0.185144,-0.080294,0.013022,0.005091,-0.004282,0.001938,-0.000315,1.009985,0.035398,0.000089,-0.001291,0.000497,0.000724,-0.000543,0.000101,-16.336451,-0.629420,0.002665,0.008705,-0.025182,0.022468,-0.008505,0.001176
2.000000,1.024826,0.098719,0.089812,-0.020001,0.032183,-0.028136,0.009587,-0.001172,1.345437,-0.298593,0.031125,0.016352,0.003724,-0.003359,0.000876,-0.000092,1.080043,0.034868,-0.000566,0.001071,0.000252,-0.001170,0.000634,-0.000104,-17.592768,-0.628972,-0.003234,0.003495,0.013561,-0.022823,0.011906,-0.002049
2.000000,1.499678,0.312740,0.004863,-0.010162,-0.036730,0.035514,-0.013973,0.002014,1.000000,-0.000274,0.098562,0.000629,-0.002391,-0.001726,0.000890,-0.000132,1.149939,0.035071,0.000627,-0.000453,-0.001038,0.001298,-0.000494,0.000061,-18.849325,-0.623788,-0.001993,-0.043283,0.080517,-0.055028,0.016047,-0.001644
2.000000,1.975598,0.095413,-0.096741,0.008590,-0.003146,-0.011187,0.009548,-0.002002,1.345345,0.298814,0.031990,-0.018869,-0.007455,0.006846,-0.002452,0.000327,1.220079,0.035242,-0.000721,-0.001698,0.003997,-0.002489,0.000524,-0.000016,-20.107170,-0.632281,0.015089,0.046704,-0.158298,0.155324,-0.063506,0.009391
2.000000,1.794743,-0.247545,-0.069130,-0.057201,0.186301,-0.157433,0.057635,-0.007754,1.904648,0.185009,-0.081439,-0.014062,0.009389,-0.005023,0.001534,-0.000154,1.289902,0.034255,0.000973,0.005647,-0.010997,0.006924,-0.001665,0.000107,-21.362453,-0.636995,-0.008501,0.091357,-0.123598,0.057960,-0.006650,-0.001002
2.000000,1.204631,-0.251321,0.085984,0.015249,-0.176025,0.247147,-0.124918,0.021512,1.904367,-0.185348,-0.077651,0.019315,-0.020106,0.021036,-0.008304,0.001158,1.360207,0.036070,-0.003042,-0.012023,0.034901,-0.031231,0.011699,-0.001580,-22.616340,-0.618906,-0.059499,-0.204356,0.809789,-0.889947,0.400107,-0.064253
2.000000,1.019084,0.067940,0.200745,0.553058,-1.915469,2.018309,-0.885488,0.139144,1.345769,-0.300385,0.023648,0.019651,0.061242,-0.094911,0.050482,-0.009128,1.429531,0.036391,0.010024,0.005036,-0.088098,0.120949,-0.060182,0.010181,-23.866265,-0.556654,-0.199025,-1.288661,4.119827,-4.254891,1.846122,-0.288129
