t,x,y,z,yaw
7.2,1.061846659978068,1.7408768370508574,0.632,-6.785840131753953
7.300000000000001,1.0864597128627194,1.7810416889260656,0.638,-6.880087911361648
7.4,1.1147433786121055,1.8187119948743449,0.644,-6.974335690969341
7.5,1.146446609406726,1.8535533905932737,0.6499999999999999,-7.0685834705770345
7.6000000000000005,1.1812880051256551,1.8852566213878945,0.656,-7.162831250184729
7.7,1.2189583110739344,1.9135402871372809,0.6619999999999999,-7.257079029792422
7.800000000000001,1.2591231629491426,1.938153340021932,0.668,-7.351326809400117
7.9,1.3014260546826097,1.9588773128419907,0.6739999999999999,-7.44557458900781
8.0,1.345491502812526,1.9755282581475768,0.6799999999999999,-7.5398223686155035
8.1,1.3909283793017284,1.9879583809693737,0.6859999999999999,-7.634070148223197
8.200000000000001,1.437333383217848,1.996057350657239,0.6920000000000001,-7.728317927830892
8.3,1.4842946204609362,1.999753280182866,0.698,-7.822565707438586
8.4,1.5313952597646567,1.999013364214136,0.704,-7.916813487046279
8.5,1.578217232520115,1.9938441702975689,0.71,-8.011061266653972
8.6,1.6243449435824273,1.9842915805643155,0.716,-8.105309046261667
8.700000000000001,1.6693689601226462,1.9704403844771126,0.722,-8.199556825869362
8.8,1.7128896457825367,1.9524135262330096,0.728,-8.293804605477055
8.9,1.7545207078751857,1.9303710135019718,0.734,-8.388052385084748
9.0,1.7938926261462365,1.9045084971874737,0.74,-8.482300164692441
9.1,1.8306559326618257,1.87505553481523,0.746,-8.576547944300135
9.200000000000001,1.8644843137107059,1.8422735529643441,0.752,-8.67079572390783
9.3,1.895077506187845,1.8064535268264883,0.758,-8.765043503515523
9.4,1.9221639627510074,1.7679133974894987,0.764,-8.859291283123216
9.5,1.9455032620941841,1.7269952498697732,0.77,-8.953539062730911
9.600000000000001,1.964888242944126,1.684062276342338,0.776,-9.047786842338606
9.700000000000001,1.9801468428384716,1.639495553019614,0.782,-9.1420346219463
9.8,1.9911436253643444,1.593690657292862,0.788,-9.236282401553993
9.9,1.99778098230154,1.547054156659257,0.794,-9.330530181161686
10.0,2.0,1.5000000000000002,0.8,-9.42477796076938
10.100000000000001,1.99778098230154,1.4529458433407425,0.806,-9.519025740377074
10.200000000000001,1.9911436253643444,1.4063093427071376,0.812,-9.613273519984768
10.3,1.9801468428384716,1.3605044469803855,0.8180000000000001,-9.707521299592461
10.4,1.964888242944126,1.3159377236576613,0.8240000000000001,-9.801769079200154
10.5,1.9455032620941841,1.273004750130227,0.8300000000000001,-9.896016858807847
